1.0097,0.97999,-1
1.0302,-1.0076,1
0.96806,0.95451,-1
1.0462,-0.99649,1
1.0223,-1.0153,1
-1.0358,-1.0232,-1
-0.98203,-1.0463,-1
-0.98449,0.96626,1
-1.0102,-0.97502,-1
0.99857,1.0394,-1
1.0029,1.033,-1
-1.0307,1.0396,1
-0.98829,-1.0235,-1
-1.0309,0.97586,1
1.024,-1.0265,1
-1.0039,-0.95184,-1
-1.0068,1.0249,1
-0.97614,1.0086,1
-1.0061,-0.96665,-1
1.0411,1.0301,-1
-0.98537,-0.99788,-1
-0.97782,1.0378,1
1.0183,1.0204,-1
0.98427,-1.0124,1
-0.99789,0.97316,1
-1.0183,0.98164,1
-0.99822,1.0494,1
0.96378,-0.96633,1
-1.0169,0.99243,1
-0.98075,1.0057,1
-0.99961,1.0147,1
1.03,-1.0046,1
0.98433,1.0436,-1
1.0103,1.0211,-1
-0.98721,1.0272,1
0.97789,1.0247,-1
-0.96469,0.99424,1
0.99417,0.95133,-1
-0.95356,0.99325,1
0.97769,0.95462,-1
1.029,-0.95507,1
0.95839,1.0475,-1
1.0004,0.99896,-1
-0.95492,-1.0002,-1
1.0479,1.0213,-1
0.99218,1.0416,-1
-1.0333,-1.0394,-1
0.98643,1.0032,-1
1.0332,1.031,-1
-1.0059,-0.95438,-1
-1.0172,1.0171,1
0.99229,0.95942,-1
-1.0101,-1.0085,-1
-0.97212,0.99235,1
-0.99922,-0.99144,-1
0.98674,-0.9512,1
-1.0082,1.0483,1
-0.96734,-1.011,-1
-1.0298,0.99539,1
1.0246,0.96255,-1
0.95034,-1.0279,1
1.0215,-0.95963,1
0.98089,-0.97739,1
1.0125,1.0043,-1
-0.95937,-0.96203,-1
1.0462,1.0262,-1
-1.0326,0.95261,1
0.97703,0.97085,-1
1.0171,1.0215,-1
-0.971,0.98185,1
-0.98199,-1.0133,-1
1.0249,-0.96744,1
1.0411,-0.98004,1
-0.97407,1.0241,1
0.98181,0.96192,-1
-1.0211,1.0172,1
1.0032,1.0216,-1
-0.99004,-1.0444,-1
1.0488,-0.95705,1
0.95986,0.9642,-1
-1.0395,0.96279,1
-1.0089,1.0484,1
-1.0321,-0.95311,-1
-0.9785,-0.96438,-1
-0.96228,1.0285,1
0.98883,-0.99482,1
-0.95453,-1.0069,-1
1.0384,-0.99519,1
0.96056,-0.9889,1
0.97177,0.96257,-1
-1.0149,-0.99868,-1
-0.98394,0.98839,1
-1.0103,0.98747,1
-1.0316,0.974,1
0.96439,-0.9894,1
1.0039,1.0492,-1
0.96781,0.98596,-1
-1.0474,0.99465,1
1.0179,-1.0005,1
0.98846,-0.9917,1
-0.98805,-1.0139,-1
-0.97864,-0.98817,-1
0.98037,0.95462,-1
1.0351,1.0061,-1
0.9763,-0.98459,1
1.0175,0.99685,-1
0.96734,0.98909,-1
-0.99051,-1.0238,-1
-1.0052,-0.99306,-1
1.022,-1.0153,1
-0.96015,0.96182,1
-0.97144,-0.99866,-1
0.96829,-1.026,1
0.98354,-0.98203,1
-0.99856,1.0384,1
1.0406,0.98927,-1
0.99981,1.0401,-1
1.0357,-1.0457,1
-1.0461,-0.95537,-1
-0.96436,0.99024,1
-0.95152,1.0216,1
-0.96389,-1.0015,-1
-0.96363,-1.0422,-1
-0.9794,1.0145,1
1.0342,1.0333,-1
-1.0383,1.0141,1
1.0161,-0.97702,1
0.9608,-0.9983,1
-1.0313,-0.97189,-1
0.96123,1.0284,-1
-1.0222,-0.99531,-1
-1.0407,0.98074,1
-0.9838,-1.0084,-1
-1.0357,1.0059,1
-1.0114,-0.97244,-1
1.0241,-0.99799,1
-0.99659,-1.041,-1
0.97122,-1.0401,1
-1.0202,0.95464,1
1.0489,-1.0433,1
1.0173,0.99775,-1
-1.0218,0.97304,1
1.0052,-0.95209,1
-1.0184,-0.98004,-1
-0.9598,1.0202,1
-0.95956,-1.0467,-1
-1.0117,-0.97104,-1
-1.0391,1.0132,1
-0.99591,-1.0292,-1
-0.99178,1.0041,1
-1.0407,-1.0037,-1
1.0075,-0.96548,1
-1.0131,-1.0389,-1
1.0102,0.98868,-1
-0.99381,-1.0316,-1
-0.96021,-0.99066,-1
-0.98267,0.99296,1
-0.9953,0.97963,1
0.95732,1.0091,-1
-0.95465,1.0041,1
-0.98443,0.95357,1
-1.047,0.97085,1
1.0179,1.0258,-1
-0.95009,-1.0329,-1
0.96958,1.0492,-1
1.0168,0.97068,-1
0.95809,-0.97228,1
0.95205,-0.95763,1
-1.0111,-1.0045,-1
-1.0095,-1.0395,-1
-0.9661,-1.0067,-1
1.0216,1.0078,-1
-0.97103,0.97354,1
1.023,-1.0156,1
0.97992,-1.0047,1
1.0142,-1.0081,1
-1.0098,-1.0094,-1
1.0223,-1.039,1
0.97564,-0.98865,1
0.97467,1.0284,-1
-1.0057,0.98934,1
1.0075,0.95598,-1
1.0163,-1.0169,1
