0,0.25
0.176777,0.176777
0.25,4.03886e-16
0.176777,-0.176777
8.07772e-16,-0.25
-0.176777,-0.176777
-0.25,-1.15615e-15
-0.176777,0.176777
0,0.5
0.353553,0.353553
0.5,8.07772e-16
0.353553,-0.353553
1.61554e-15,-0.5
-0.353553,-0.353553
-0.5,-2.31229e-15
-0.353553,0.353553
0,0.75
0.53033,0.53033
0.75,1.21166e-15
0.53033,-0.53033
2.42332e-15,-0.75
-0.53033,-0.53033
-0.75,-3.46844e-15
-0.53033,0.53033
0,1
0.707107,0.707107
1,1.61554e-15
0.707107,-0.707107
3.23109e-15,-1
-0.707107,-0.707107
-1,-4.62459e-15
-0.707107,0.707107
0,0
